39039,VAN SICLEN AV
65854,VAN SICLEN AVE
179739,VERNON-JACKSON
55822,W 4 ST-WASH SQ
30042,W 8 ST-AQUARIUM
174145,WAKEFIELD/241
128888,WALL ST
171916,WEST FARMS SQ
178303,WESTCHESTER SQ
10587,WHITEHALL S-FRY
176247,WHITLOCK AV
34664,WILSON AV
198684,WINTHROP ST
40005,WOODHAVEN BLVD
167820,WOODLAWN
58803,WORLD TRADE CTR
127418,WTC-CORTLANDT
102020,YORK ST
178051,ZEREGA AV
